feature,importance
GrLivArea,0.009644081794533469
OverallQual,0.008888634471335834
TotalSF,0.008743752786331351
OverallCond,0.004334432587932735
HouseAge,0.0031609015815305492
Neighborhood,0.0018922588585955735
MSZoning,0.001618915706964851
BsmtFinSF1,0.0014871917841368684
GarageCars,0.0011450755988920164
SaleCondition,0.000907489511835328
LotArea,0.0008543432695716854
SaleType,0.000767860898549317
YearBuilt,0.0007131466794269454
Condition1,0.0007029981086461555
2ndFlrSF,0.0006897410447843351
GarageArea,0.0006606647525734432
Exterior1st,0.0006192962577056197
ScreenPorch,0.0006050774015962325
YearsSinceRemodel,0.0006035636965723874
1stFlrSF,0.0005909012936094953
TotalBath,0.0005879620781312838
Functional,0.000575331878699073
Foundation,0.0005280848397175243
BsmtExposure,0.0004911108071414556
KitchenQual,0.00045763236636497864
GarageYrBlt,0.00045485503533004065
KitchenAbvGr,0.0004285187953644635
WoodDeckSF,0.0004278367321424694
LotFrontage,0.0004200891201010231
HeatingQC,0.0004037024733407167
CentralAir,0.0003800278113546784
TotalBsmtSF,0.00036533625316766333
TotRmsAbvGrd,0.0003511559510089047
Fireplaces,0.00031841083977018816
BsmtFinType1,0.00029589453390624945
EnclosedPorch,0.0002899627921724452
FireplaceQu,0.0002864887416722219
OpenPorchSF,0.0002746816793961786
BsmtQual,0.0002472339914164805
LotConfig,0.00023523547088988745
BldgType,0.00023323311892460753
BedroomAbvGr,0.00023236572042685462
BsmtFullBath,0.00023230420174176497
HalfBath,0.00022250351773383457
YearRemodAdd,0.00021424832548225386
ExterCond,0.00020778694738973793
YrSold,0.00020619619592594681
MasVnrType,0.00020516630292198216
Exterior2nd,0.0001983005534104132
QualityArea,0.00019327129119912375
MSSubClass,0.00018673421209614623
FullBath,0.00018106229175352575
BsmtFinSF2,0.00018080035204484402
BsmtUnfSF,0.00016533819294794073
MoSold,0.00016444301269806453
MasVnrArea,0.00015161246910879358
HouseStyle,0.00013691173076237195
GarageFinish,0.00013499939583976484
GarageType,0.0001306935818324367
Fence,0.00012400955372000692
LowQualFinSF,0.00011869229028001766
GarageCond,0.00011032116396783102
PoolArea,0.00010657985069908085
BsmtHalfBath,0.00010444249812844187
LotShape,9.006608922365651e-05
3SsnPorch,8.833034783752077e-05
ExterQual,8.701910600543376e-05
BsmtCond,7.918120071098729e-05
PavedDrive,7.540589158621692e-05
BsmtFinType2,7.334437091907117e-05
RoofStyle,6.757508592941837e-05
Heating,6.382239496464815e-05
GarageQual,6.273882845729515e-05
Electrical,5.176074159004042e-05
Alley,4.721096106323104e-05
LandContour,4.429063569580654e-05
MiscVal,3.848667379871967e-05
LandSlope,3.302567804802803e-05
MiscFeature,1.8311643447616913e-05
RoofMatl,1.808313704367518e-05
Street,1.2811390692387369e-05
Condition2,4.69726564082569e-06
PoolQC,3.26681604610711e-06
Utilities,1.1328576691442549e-06
